config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC2k_DC2k,2k,2k,UnixBench,Arithmetic_Int,627397,lps,134354515,247270872,0.5433
IC2k_DC2k,2k,2k,UnixBench,Dhrystone,238417,lps,74910258,175292627,0.4273
IC2k_DC2k,2k,2k,UnixBench,Arithmetic_Double,628870,lps,134652320,247575478,0.5439
IC2k_DC2k,2k,2k,UnixBench,Whetstone,16.485,MWIPS,88037350,249132469,0.3534
IC2k_DC2k,2k,2k,UnixBench,Syscall_Mix,16362,lps,32874648,246962755,0.1331
IC2k_DC2k,2k,2k,UnixBench,Syscall_GetPID,182758,lps,50143196,244764003,0.2049
IC2k_DC2k,2k,2k,UnixBench,Syscall_Exec,16,lps,2387967,22266987,0.1072
IC2k_DC2k,2k,2k,UnixBench,Pipe_Throughput,6389,lps,26887468,247482592,0.1086
IC2k_DC2k,2k,2k,UnixBench,Context_Switching,705,lps,11635722,113017932,0.1030
IC4k_DC4k,4k,4k,NPB,EP,0.12,Mop/s,2091584106,7036120147,0.2973
IC4k_DC4k,4k,4k,NPB,IS,0.46,Mop/s,7563181,35212223,0.2148
IC4k_DC4k,4k,4k,NPB,CG,0.78,Mop/s,355698476,2114609471,0.1682
IC4k_DC4k,4k,4k,NPB,MG,1.07,Mop/s,33940989,175472558,0.1934
IC4k_DC4k,4k,4k,NPB,FT,1.20,Mop/s,586530575,3667899990,0.1599
IC4k_DC4k,4k,4k,NPB,BT,2.16,Mop/s,549545863,2619367463,0.2098
IC4k_DC4k,4k,4k,NPB,SP,1.21,Mop/s,357386206,1974144352,0.1810
IC4k_DC4k,4k,4k,NPB,LU,2.91,Mop/s,200274061,869007272,0.2305
IC4k_DC4k,4k,4k,UnixBench,Arithmetic_Overhead,22604623,lps,96177219,247356497,0.3888
IC4k_DC4k,4k,4k,UnixBench,Arithmetic_Register,657768,lps,140603481,247429588,0.5683
IC4k_DC4k,4k,4k,UnixBench,Arithmetic_Short,659432,lps,140924358,247594585,0.5692
