config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC1w_DC1w,4k,4k,UnixBench,Arithmetic_Int,591945,lps,127084077,245475573,0.5177
IC1w_DC1w,4k,4k,UnixBench,Dhrystone,120694,lps,39398694,151126242,0.2607
IC1w_DC1w,4k,4k,UnixBench,Arithmetic_Double,594155,lps,127555563,246319426,0.5178
IC1w_DC1w,4k,4k,UnixBench,Whetstone,9.029,MWIPS,53931407,259605565,0.2077
IC1w_DC1w,4k,4k,UnixBench,Syscall_Mix,15351,lps,31198456,245981645,0.1268
IC1w_DC1w,4k,4k,UnixBench,Syscall_GetPID,117583,lps,34340312,242414639,0.1417
IC1w_DC1w,4k,4k,UnixBench,Syscall_Exec,11,lps,1937309,22053252,0.0878
IC1w_DC1w,4k,4k,UnixBench,Pipe_Throughput,5609,lps,24405645,245401403,0.0995
IC1w_DC1w,4k,4k,UnixBench,Context_Switching,674,lps,9772820,116737473,0.0837
IC2w_DC2w,4k,4k,NPB,EP,0.12,Mop/s,2092500107,7088600422,0.2952
IC2w_DC2w,4k,4k,NPB,IS,0,-,0,0,0
IC2w_DC2w,4k,4k,NPB,CG,0.77,Mop/s,356507508,2154643598,0.1655
IC2w_DC2w,4k,4k,NPB,MG,0.96,Mop/s,34420552,196627758,0.1751
IC2w_DC2w,4k,4k,NPB,FT,1.22,Mop/s,584757647,3598950304,0.1625
IC2w_DC2w,4k,4k,NPB,BT,2.13,Mop/s,550258796,2658533204,0.2070
IC2w_DC2w,4k,4k,NPB,SP,1.15,Mop/s,359862917,2085735017,0.1725
IC2w_DC2w,4k,4k,NPB,LU,2.89,Mop/s,200416046,876190390,0.2287
IC2w_DC2w,4k,4k,UnixBench,Arithmetic_Overhead,22467234,lps,95630303,247879920,0.3858
IC2w_DC2w,4k,4k,UnixBench,Arithmetic_Register,653810,lps,139777287,247732843,0.5642
IC2w_DC2w,4k,4k,UnixBench,Arithmetic_Short,653657,lps,139743180,247798290,0.5639
IC2w_DC2w,4k,4k,UnixBench,Arithmetic_Int,653004,lps,139606551,247416692,0.5643
IC2w_DC2w,4k,4k,UnixBench,Dhrystone,243016,lps,76325372,179379290,0.4255
IC2w_DC2w,4k,4k,UnixBench,Arithmetic_Double,653825,lps,139775979,247565035,0.5646
IC2w_DC2w,4k,4k,UnixBench,Whetstone,18.579,MWIPS,98304074,249375535,0.3942
IC2w_DC2w,4k,4k,UnixBench,Syscall_Mix,20582,lps,39861057,246786669,0.1615
IC2w_DC2w,4k,4k,UnixBench,Syscall_GetPID,178722,lps,49155841,245612115,0.2001
IC2w_DC2w,4k,4k,UnixBench,Syscall_Exec,19,lps,2592906,22101219,0.1173
IC2w_DC2w,4k,4k,UnixBench,Pipe_Throughput,8754,lps,34484870,247454370,0.1394
IC2w_DC2w,4k,4k,UnixBench,Context_Switching,822,lps,13753324,118505201,0.1161
IC4w_DC4w,4k,4k,NPB,EP,0.12,Mop/s,2091584106,7036120147,0.2973
IC4w_DC4w,4k,4k,NPB,IS,0.46,Mop/s,7563181,35212223,0.2148
IC4w_DC4w,4k,4k,NPB,CG,0.78,Mop/s,355698476,2114609471,0.1682
IC4w_DC4w,4k,4k,NPB,MG,1.07,Mop/s,33940989,175472558,0.1934
IC4w_DC4w,4k,4k,NPB,FT,1.20,Mop/s,586530575,3667899990,0.1599
IC4w_DC4w,4k,4k,NPB,BT,2.16,Mop/s,549545863,2619367463,0.2098
IC4w_DC4w,4k,4k,NPB,SP,1.21,Mop/s,357386206,1974144352,0.1810
IC4w_DC4w,4k,4k,NPB,LU,2.91,Mop/s,200274061,869007272,0.2305
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Overhead,22604623,lps,96177219,247356497,0.3888
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Register,657768,lps,140603481,247429588,0.5683
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Short,659432,lps,140924358,247594585,0.5692
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Int,657687,lps,140591530,247357568,0.5684
IC4w_DC4w,4k,4k,UnixBench,Dhrystone,259545,lps,81321680,181681039,0.4476
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Double,658938,lps,140829248,247475132,0.5691
IC4w_DC4w,4k,4k,UnixBench,Whetstone,19.471,MWIPS,103502087,251786537,0.4111
IC4w_DC4w,4k,4k,UnixBench,Syscall_Mix,22202,lps,42538037,247303208,0.1720
IC4w_DC4w,4k,4k,UnixBench,Syscall_GetPID,209219,lps,56577409,245234113,0.2307
IC4w_DC4w,4k,4k,UnixBench,Syscall_Exec,20,lps,2533801,21249468,0.1192
IC4w_DC4w,4k,4k,UnixBench,Pipe_Throughput,9035,lps,35383197,247511653,0.1430
IC4w_DC4w,4k,4k,UnixBench,Context_Switching,849,lps,14159581,120883999,0.1171
IC8w_DC8w,4k,4k,NPB,EP,0.12,Mop/s,2091769640,7049993713,0.2967
IC8w_DC8w,4k,4k,NPB,IS,0.45,Mop/s,7560228,35606849,0.2123
IC8w_DC8w,4k,4k,NPB,CG,0.78,Mop/s,355748511,2121031852,0.1677
IC8w_DC8w,4k,4k,NPB,MG,1.07,Mop/s,33929752,175511396,0.1933
IC8w_DC8w,4k,4k,NPB,FT,1.21,Mop/s,585643993,3634732220,0.1611
IC8w_DC8w,4k,4k,NPB,BT,2.14,Mop/s,549842662,2635339730,0.2086
IC8w_DC8w,4k,4k,NPB,SP,1.22,Mop/s,356929618,1957422599,0.1823
