config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
BHT64,4k,4k,NPB,EP,0.12,Mop/s,2085661451,6782078522,0.3075
BHT64,4k,4k,NPB,IS,0.46,Mop/s,7564271,35390882,0.2137
BHT64,4k,4k,NPB,CG,0.78,Mop/s,355586488,2110874583,0.1685
BHT64,4k,4k,NPB,MG,1.07,Mop/s,33961125,176191555,0.1928
BHT64,4k,4k,NPB,FT,1.20,Mop/s,586472185,3666886215,0.1599
BHT64,4k,4k,NPB,BT,2.16,Mop/s,549413324,2614734460,0.2101
BHT64,4k,4k,NPB,SP,1.22,Mop/s,357135069,1963702994,0.1819
BHT64,4k,4k,NPB,LU,2.92,Mop/s,200217528,867730797,0.2307
BHT64,4k,4k,UnixBench,Arithmetic_Overhead,22603193,lps,96193822,247168660,0.3892
BHT64,4k,4k,UnixBench,Arithmetic_Register,658622,lps,140797617,247299234,0.5693
BHT64,4k,4k,UnixBench,Arithmetic_Short,661361,lps,141309577,247697313,0.5705
BHT64,4k,4k,UnixBench,Arithmetic_Int,660094,lps,141071858,247506914,0.5700
BHT64,4k,4k,UnixBench,Dhrystone,262375,lps,82192089,183214545,0.4486
BHT64,4k,4k,UnixBench,Arithmetic_Double,660058,lps,141072288,247369899,0.5703
BHT64,4k,4k,UnixBench,Whetstone,20.998,MWIPS,113931830,259037363,0.4398
BHT64,4k,4k,UnixBench,Syscall_Mix,23060,lps,43946935,247389467,0.1776
BHT64,4k,4k,UnixBench,Syscall_GetPID,191958,lps,52414255,245301609,0.2137
BHT64,4k,4k,UnixBench,Syscall_Exec,20,lps,2590180,21679341,0.1195
BHT64,4k,4k,UnixBench,Pipe_Throughput,9328,lps,36326805,247548464,0.1467
BHT64,4k,4k,UnixBench,Context_Switching,846,lps,14248234,121850759,0.1169
BHT8192,4k,4k,NPB,EP,0.12,Mop/s,2082668751,6683187669,0.3116
BHT8192,4k,4k,NPB,IS,0,-,0,0,0
BHT8192,4k,4k,NPB,CG,0.79,Mop/s,354758496,2086061587,0.1701
BHT8192,4k,4k,NPB,MG,1.09,Mop/s,33884323,173096565,0.1958
BHT8192,4k,4k,NPB,FT,1.21,Mop/s,584995508,3618763173,0.1617
BHT8192,4k,4k,NPB,BT,2.19,Mop/s,548397744,2582893048,0.2123
BHT8192,4k,4k,NPB,SP,1.25,Mop/s,355940178,1921442062,0.1852
BHT8192,4k,4k,NPB,LU,2.96,Mop/s,199877329,855760036,0.2336
BHT8192,4k,4k,UnixBench,Arithmetic_Overhead,22927706,lps,97460739,247730002,0.3934
BHT8192,4k,4k,UnixBench,Arithmetic_Register,669014,lps,142894087,247813463,0.5766
BHT8192,4k,4k,UnixBench,Arithmetic_Short,667425,lps,142564148,247749479,0.5754
BHT8192,4k,4k,UnixBench,Arithmetic_Int,669457,lps,142977043,247937960,0.5767
BHT8192,4k,4k,UnixBench,Dhrystone,271965,lps,85105809,187063109,0.4550
